wbid,wbtype,uid,batch
4186991220302372,comment,6020873224,2
4186991220302372,comment,1220407074,2
4186991220302372,comment,5352988879,2
4186991220302372,comment,6086950890,2
4186991220302372,comment,5979004139,2
4186991220302372,comment,6215097868,2
4186991220302372,comment,5243771527,2
4186991220302372,comment,2881730202,2
4186991220302372,comment,5976929808,2
4186991220302372,comment,6086950890,2
4186991220302372,comment,6020873224,2
4186991220302372,comment,1220407074,2
4193954922855845,comment,3445073354,2
4193954922855845,comment,3921600799,2
4193954922855845,comment,3964030163,2
4193954922855845,comment,2813979072,2
4193954922855845,comment,3290508232,2
4193954922855845,comment,1220407074,2
4193954922855845,comment,2529403200,2
4193954922855845,comment,5474914736,2
4193954922855845,comment,2719112087,2
4193954922855845,comment,1220407074,2
4193954922855845,comment,5611150947,2
4193954922855845,comment,3210386137,2
4193954922855845,comment,5130623148,2
4193954922855845,comment,5711944268,2
4193954922855845,comment,5056285947,2
4193954922855845,comment,1881432013,2
4193954922855845,comment,5992112616,2
4193954922855845,comment,1220407074,2
4193954922855845,comment,1732185795,2
4193954922855845,comment,1220407074,2
4175037223227796,comment,5727996644,2
4175037223227796,comment,3201019015,2
4175037223227796,comment,3293106981,2
4175037223227796,comment,1220407074,2
4175037223227796,comment,2972308132,2
4174040597399856,comment,3319261031,2
4174040597399856,comment,1732185795,2
4182962054984393,comment,3846757945,2
4182962054984393,comment,1220407074,2
4182962054984393,comment,1220407074,2
4182962054984393,comment,5056285947,2
4182962054984393,comment,1220407074,2
4182962054984393,comment,2852996720,2
4182962054984393,comment,6064864882,2
4182962054984393,comment,5610582320,2
4194770933301055,comment,2692024832,2
4194770933301055,comment,2862700284,2
4194770933301055,comment,5474914736,2
4194770933301055,comment,2393590791,2
4194770933301055,comment,1879297574,2
4194770933301055,comment,5992798082,2
4194770933301055,comment,5992112616,2
4194770933301055,comment,2480799777,2
4194770933301055,comment,3922032712,2
4194589956774818,comment,5382895414,2
4173715132440717,comment,1879297574,2
4183937624273769,comment,5610582320,2
4183937624273769,comment,1220407074,2
4183937624273769,comment,6023677481,2
4183937624273769,comment,6230579153,2
4183937624273769,comment,6329758910,2
4183937624273769,comment,6064864882,2
4183937624273769,comment,2719112087,2
4183937624273769,comment,5566954139,2
4183937624273769,comment,1931636254,2
4183937624273769,comment,5997255486,2
4183937624273769,comment,2529813902,2
4183937624273769,comment,1220407074,2
4183937624273769,comment,5858095754,2
4183937624273769,comment,3288028260,2
4183937624273769,comment,1993803210,2
4183937624273769,comment,2656131481,2
4183937624273769,comment,5752145206,2
4183937624273769,comment,2881730202,2
4183937624273769,comment,5752145206,2
4183937624273769,comment,6003602136,2
4183937624273769,comment,5325565440,2
4161741148962067,comment,5727996644,2
4161741148962067,comment,5679748769,2
4174368672755931,comment,1220407074,2
4174368672755931,comment,5515352471,2
4174368672755931,comment,1732185795,2
4174368672755931,comment,5515352471,2
4169655788320465,comment,2164244123,2
4169655788320465,comment,2881730202,2
4169655788320465,comment,1732185795,2
4169655788320465,comment,5727996644,2
4169655788320465,comment,5970602479,2
4169655788320465,comment,6077434966,2
4169655788320465,comment,6064864882,2
4169655788320465,comment,5243771527,2
4169655788320465,comment,5611150947,2
4162709777494970,comment,3259933970,2
4162709777494970,comment,1732185795,2
4162709777494970,comment,5347290534,2
4162709777494970,comment,2795707432,2
4185547180267842,comment,5160148264,2
4185547180267842,comment,5935717777,2
4185547180267842,comment,1732185795,2
4185547180267842,comment,1220407074,2
4185547180267842,comment,6027905180,2
4185547180267842,comment,5935717777,2
4185547180267842,comment,1220407074,2
4185547180267842,comment,5993636770,2
4185547180267842,comment,5984082712,2
4185547180267842,comment,1220407074,2
4199684694848057,comment,3173872645,2
4199684694848057,comment,1841156512,2
4199684694848057,comment,1220407074,2
4199684694848057,comment,3537449525,2
4199684694848057,comment,1931636254,2
4199684694848057,comment,2422616452,2
4199684694848057,comment,2813979072,2
4199684694848057,comment,6374948126,2
4199684694848057,comment,5523489433,2
4199684694848057,comment,3033437962,2
4199684694848057,comment,3173872645,2
4199684694848057,comment,5863733868,2
4199684694848057,comment,5680518012,2
4199684694848057,comment,1732185795,2
4199684694848057,comment,2972308132,2
4199684694848057,comment,5652070441,2
4199684694848057,comment,5935717777,2
4165938292694008,comment,2147457735,2
4162141877593071,comment,5202600647,2
4162141877593071,comment,5566954139,2
4162141877593071,comment,5325565440,2
4162141877593071,comment,1220407074,2
4162141877593071,comment,5767515033,2
4162141877593071,comment,1220407074,2
4162141877593071,comment,1220407074,2
4162141877593071,comment,1732185795,2
4162141877593071,comment,3689344212,2
4162141877593071,comment,5727996644,2
4162141877593071,comment,5457218957,2
4162141877593071,comment,5663253948,2
4162141877593071,comment,5484141654,2
4162141877593071,comment,1931636254,2
4162141877593071,comment,5953757372,2
4162141877593071,comment,5899887324,2
4162141877593071,comment,5266942121,2
4162141877593071,comment,1881432013,2
4162141877593071,comment,1220407074,2
4162141877593071,comment,5202600647,2
4162141877593071,comment,5899887324,2
4162141877593071,comment,2672145682,2
4162141877593071,comment,1732185795,2
4162141877593071,comment,5767515033,2
4162141877593071,comment,1220407074,2
4162141877593071,comment,1220407074,2
4162141877593071,comment,5727996644,2
4162141877593071,comment,5484141654,2
4162141877593071,comment,2881730202,2
4162141877593071,comment,1220407074,2
4198306256671250,comment,1220407074,2
4198306256671250,comment,6086950890,2
4198306256671250,comment,5935744820,2
4198306256671250,comment,1220407074,2
4198306256671250,comment,5930707536,2
4198306256671250,comment,6049549173,2
4198306256671250,comment,5700088406,2
4170871822159519,comment,5088008316,2
4170871822159519,comment,5700088406,2
4170871822159519,comment,1220407074,2
4170871822159519,comment,5484141654,2
4170871822159519,comment,1220407074,2
4170871822159519,comment,1931636254,2
4170871822159519,comment,5843691269,2
4170871822159519,comment,6077434966,2
4170871822159519,comment,5708156890,2
4170871822159519,comment,5861320186,2
4170871822159519,comment,5484141654,2
4170871822159519,comment,5727996644,2
4170871822159519,comment,2944720297,2
4170871822159519,comment,2944720297,2
4202715733709068,comment,1220407074,2
4202715733709068,comment,2719112087,2
4202715733709068,comment,2973009510,2
4202715733709068,comment,2216566317,2
4202715733709068,comment,1242700321,2
4202715733709068,comment,1220407074,2
4202715733709068,comment,1220407074,2
4202715733709068,comment,6369795497,2
4202715733709068,comment,2973009510,2
4202715733709068,comment,2973009510,2
4202715733709068,comment,2216566317,2
4198452630266335,comment,6086950890,2
4198452630266335,comment,2097453085,2
4198452630266335,comment,1220407074,2
4198452630266335,comment,6465698821,2
4200939944126895,comment,2830787247,2
4200939944126895,comment,1220407074,2
4200939944126895,comment,2719112087,2
4200939944126895,comment,6374948126,2
4200939944126895,comment,5935717777,2
4200939944126895,comment,6071568330,2
4200939944126895,comment,6086950890,2
4196760345187543,comment,1305822153,2
4158450164404992,comment,5843691269,2
4158450164404992,comment,5202600647,2
4158450164404992,comment,3979786501,2
4158450164404992,comment,5202600647,2
4175516179868593,comment,2076993751,2
4175516179868593,comment,1220407074,2
4175516179868593,comment,5453456467,2
4175516179868593,comment,6323289331,2
4175516179868593,comment,5199964264,2
4175516179868593,comment,5976929808,2
4175516179868593,comment,2306956104,2
4175516179868593,comment,1879297574,2
4175516179868593,comment,5611150947,2
4175516179868593,comment,3612715343,2
4175516179868593,comment,1220407074,2
4175516179868593,comment,5675786764,2
4175516179868593,comment,6230579153,2
4175516179868593,comment,5160148264,2
4175516179868593,comment,5611150947,2
4175516179868593,comment,1956754357,2
4175516179868593,comment,1220407074,2
4175516179868593,comment,3296476215,2
4175516179868593,comment,5442441087,2
4175516179868593,comment,1220407074,2
4175516179868593,comment,5210902422,2
4178129922536794,comment,2719112087,2
