wbid,uid,batch
4196503859787277,5175655487,1
4187818538628225,5175655487,1
4193647027275060,5175655487,1
4169973679632308,5175655487,1
4166717892526604,5175655487,1
4188318739163000,5175655487,1
4190843684165256,5175655487,1
4177679215317185,5175655487,1
4176978002760925,5175655487,1
4171863867529432,5175655487,1
4181787460679065,5175655487,1
4196658046765172,5175655487,1
4196527205826176,5175655487,1
4175810254202970,5175655487,1
4186968482784072,5175655487,1
4176944671683531,5175655487,1
4184141203422402,5175655487,1
4186688806720636,5175655487,1
4176938375646531,5175655487,1
4203052666063157,5175655487,1
4166885245186263,5175655487,1
4169895141147236,5175655487,1
4191274670266664,5175655487,1
4201702414475371,5175655487,1
4177656188979321,5175655487,1
4188196088505494,5175655487,1
4172761263435262,5175655487,1
4167345414418566,5175655487,1
4203045279428605,5175655487,1
4172567789065087,5175655487,1
4199061563860167,5175655487,1
4186843048006449,5175655487,1
4172182818683494,5175655487,1
4172765051855352,5175655487,1
4195104120442775,5175655487,1
4180205855798081,5175655487,1
4178724524250997,5175655487,1
4196985294289257,5175655487,1
4187463759317845,5175655487,1
4172625527662942,5175655487,1
4199817300849459,5175655487,1
4160190989289836,5175655487,1
4172721355717686,5175655487,1
4170116789266940,5175655487,1
4159103897179065,5175655487,1
4199818706674400,5175655487,1
4179116892552201,5175655487,1
4172753588967623,5175655487,1
4167809523205020,5175655487,1
4197231693215889,5175655487,1
4188319967002749,5175655487,1
4168931944668503,5175655487,1
4160988880443723,5175655487,1
4182700866437367,5175655487,1
4190398810964788,5175655487,1
4201333915584105,5175655487,1
4172586457769828,5175655487,1
4189262947256383,5175655487,1
4172188955290154,5175655487,1
4171465156665956,5175655487,1
4186989853620407,5175655487,1
4199423221520225,5175655487,1
4194474677107922,5175655487,1
4180310532654916,5175655487,1
4200465766381155,5175655487,1
4196631195119153,5175655487,1
4191169665789512,5175655487,1
4159491228560594,5175655487,1
4187221877680705,5175655487,1
4175812950981614,5175655487,1
4187208732343264,5175655487,1
4167834890525848,5175655487,1
4202129751161624,5175655487,1
4188317103254123,5175655487,1
4199420620423233,5175655487,1
4179074869423895,5175655487,1
4182757066624075,5175655487,1
4187216315871710,5175655487,1
4183832854757188,5175655487,1
4186965823233518,5175655487,1
4195514763349096,5175655487,1
4181279920914792,5175655487,1
4170157024652740,5175655487,1
4202152681213908,5175655487,1
4160617839909935,5175655487,1
4188402691564928,5175655487,1
4179475585399071,5175655487,1
4159157399553483,5175655487,1
4184574974293534,5175655487,1
4160195334448505,5175655487,1
4195554706005819,5175655487,1
4183845534379367,5175655487,1
4191587120747726,5175655487,1
4168929724984590,5175655487,1
4189003010021858,5175655487,1
4171309396774016,5175655487,1
4173077002380560,5175655487,1
4165359256649647,5175655487,1
4178708376253375,5175655487,1
4188111657112102,5175655487,1
